Audio File : whispy\mar_07\030723_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 04:17:14          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:07:09.156 -->  00:07:13.949] DC SPEAKER_02
[ 00:07:13.949 -->  00:07:17.003] OP SPEAKER_07
[ 00:07:17.003 -->  00:07:19.365] JI SPEAKER_04
[ 00:07:18.437 -->  00:07:23.939] FL SPEAKER_03
[ 00:07:21.374 -->  00:07:27.449] JJ SPEAKER_04
[ 00:07:23.939 -->  00:07:24.715] BY SPEAKER_01
[ 00:07:26.031 -->  00:07:31.937] BZ SPEAKER_01
[ 00:07:31.937 -->  00:07:32.950] DD SPEAKER_02
[ 00:07:32.950 -->  00:07:34.452] MI SPEAKER_06
[ 00:07:32.967 -->  00:07:48.255] FM SPEAKER_03
[ 00:07:36.510 -->  00:07:39.075] CA SPEAKER_01
[ 00:07:46.214 -->  00:07:50.939] CB SPEAKER_01
[ 00:07:50.753 -->  00:07:52.356] FN SPEAKER_03
[ 00:07:52.947 -->  00:07:57.300] FO SPEAKER_03
[ 00:07:55.242 -->  00:07:55.444] J SPEAKER_00
[ 00:07:57.739 -->  00:08:00.962] K SPEAKER_00
[ 00:07:59.815 -->  00:08:01.958] DE SPEAKER_02
[ 00:08:10.446 -->  00:08:10.682] FP SPEAKER_03
[ 00:08:11.374 -->  00:08:13.737] FQ SPEAKER_03
[ 00:08:11.982 -->  00:08:12.100] DF SPEAKER_02
[ 00:08:13.500 -->  00:08:16.487] DG SPEAKER_02
[ 00:08:20.790 -->  00:08:57.797] DH SPEAKER_02
[ 00:08:31.050 -->  00:08:33.345] CC SPEAKER_01
[ 00:08:35.404 -->  00:08:35.438] CD SPEAKER_01
[ 00:08:35.438 -->  00:08:35.691] OQ SPEAKER_07
[ 00:08:38.340 -->  00:08:38.948] OR SPEAKER_07
