Audio File : whispy\mar_28\032823_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 05:58:15          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:11:04.495 -->  00:11:05.794] TB SPEAKER_08
[ 00:11:06.925 -->  00:11:08.376] TC SPEAKER_08
[ 00:11:08.190 -->  00:11:11.430] MO SPEAKER_06
[ 00:11:09.507 -->  00:11:10.452] PR SPEAKER_07
[ 00:11:11.430 -->  00:11:14.316] ACI SPEAKER_10
[ 00:11:11.616 -->  00:11:17.995] PS SPEAKER_07
[ 00:11:16.949 -->  00:11:19.632] JY SPEAKER_05
[ 00:11:17.995 -->  00:11:18.923] AFQ SPEAKER_11
[ 00:11:20.627 -->  00:11:21.437] AFR SPEAKER_11
[ 00:11:21.437 -->  00:11:25.943] WP SPEAKER_09
[ 00:11:21.825 -->  00:11:22.770] JZ SPEAKER_05
[ 00:11:24.492 -->  00:11:28.947] KA SPEAKER_05
[ 00:11:25.943 -->  00:11:26.432] IA SPEAKER_04
[ 00:11:28.947 -->  00:11:30.752] DE SPEAKER_01
[ 00:11:29.487 -->  00:11:30.955] ACJ SPEAKER_10
[ 00:11:31.697 -->  00:11:35.444] ACK SPEAKER_10
[ 00:11:35.444 -->  00:11:35.528] WQ SPEAKER_09
[ 00:11:36.591 -->  00:11:39.426] WR SPEAKER_09
[ 00:11:40.439 -->  00:11:42.582] WS SPEAKER_09
[ 00:11:40.489 -->  00:11:44.489] EH SPEAKER_02
[ 00:11:48.994 -->  00:11:55.677] EI SPEAKER_02
[ 00:11:49.956 -->  00:11:50.007] W SPEAKER_00
[ 00:11:55.677 -->  00:11:56.436] TD SPEAKER_08
[ 00:11:56.436 -->  00:11:58.495] WT SPEAKER_09
[ 00:11:57.870 -->  00:11:58.444] TE SPEAKER_08
[ 00:11:58.495 -->  00:12:05.076] ACL SPEAKER_10
[ 00:11:59.069 -->  00:11:59.288] TF SPEAKER_08
[ 00:12:00.570 -->  00:12:02.005] GQ SPEAKER_03
[ 00:12:02.005 -->  00:12:08.384] TG SPEAKER_08
[ 00:12:07.000 -->  00:12:12.450] DF SPEAKER_01
[ 00:12:09.480 -->  00:12:09.497] TH SPEAKER_08
[ 00:12:09.497 -->  00:12:25.950] ACM SPEAKER_10
[ 00:12:12.450 -->  00:12:12.704] X SPEAKER_00
[ 00:12:13.092 -->  00:12:13.446] DG SPEAKER_01
[ 00:12:13.446 -->  00:12:13.952] Y SPEAKER_00
[ 00:12:16.264 -->  00:12:17.547] AFS SPEAKER_11
[ 00:12:17.547 -->  00:12:18.019] KB SPEAKER_05
[ 00:12:25.950 -->  00:12:30.945] IB SPEAKER_04
[ 00:12:28.431 -->  00:12:35.451] ACN SPEAKER_10
[ 00:12:30.945 -->  00:12:31.182] MP SPEAKER_06
[ 00:12:33.308 -->  00:12:39.450] TI SPEAKER_08
[ 00:12:36.565 -->  00:12:36.936] ACO SPEAKER_10
[ 00:12:36.936 -->  00:12:37.425] PT SPEAKER_07
[ 00:12:38.708 -->  00:12:40.919] PU SPEAKER_07
[ 00:12:39.450 -->  00:12:42.994] WU SPEAKER_09
[ 00:12:42.994 -->  00:12:46.943] AFT SPEAKER_11
[ 00:12:45.694 -->  00:12:46.234] TJ SPEAKER_08
[ 00:12:46.234 -->  00:12:46.454] DH SPEAKER_01
[ 00:12:46.943 -->  00:12:47.989] TK SPEAKER_08
[ 00:12:51.229 -->  00:12:56.950] KC SPEAKER_05
[ 00:12:52.950 -->  00:12:53.035] DI SPEAKER_01
[ 00:12:55.650 -->  00:12:55.667] DJ SPEAKER_01
[ 00:12:55.667 -->  00:13:00.004] GR SPEAKER_03
[ 00:12:56.494 -->  00:12:57.422] ACP SPEAKER_10
[ 00:12:59.447 -->  00:13:02.451] ACQ SPEAKER_10
[ 00:13:00.004 -->  00:13:03.582] Z SPEAKER_00
[ 00:13:01.827 -->  00:13:07.345] PV SPEAKER_07
[ 00:13:07.345 -->  00:13:07.497] MQ SPEAKER_06
[ 00:13:08.054 -->  00:13:19.596] PW SPEAKER_07
[ 00:13:13.521 -->  00:13:16.947] MR SPEAKER_06
[ 00:13:16.947 -->  00:13:18.651] KD SPEAKER_05
[ 00:13:18.651 -->  00:13:29.940] IC SPEAKER_04
[ 00:13:29.940 -->  00:13:40.437] ACR SPEAKER_10
[ 00:13:39.981 -->  00:13:48.942] PX SPEAKER_07
[ 00:13:43.457 -->  00:13:43.660] KE SPEAKER_05
[ 00:13:43.660 -->  00:13:45.449] ID SPEAKER_04
[ 00:13:48.942 -->  00:13:51.540] MS SPEAKER_06
[ 00:13:52.469 -->  00:13:56.839] MT SPEAKER_06
[ 00:13:54.494 -->  00:14:01.159] PY SPEAKER_07
[ 00:13:57.666 -->  00:14:09.495] WV SPEAKER_09
[ 00:14:04.686 -->  00:14:04.939] PZ SPEAKER_07
[ 00:14:04.939 -->  00:14:05.952] AA SPEAKER_00
[ 00:14:10.457 -->  00:14:13.731] QA SPEAKER_07
[ 00:14:13.731 -->  00:14:16.161] DK SPEAKER_01
[ 00:14:16.161 -->  00:14:16.380] KF SPEAKER_05
[ 00:14:16.870 -->  00:14:20.414] TL SPEAKER_08
[ 00:14:16.920 -->  00:14:19.013] EJ SPEAKER_02
[ 00:14:17.444 -->  00:14:17.494] AB SPEAKER_00
[ 00:14:19.013 -->  00:14:19.401] ACS SPEAKER_10
[ 00:14:20.414 -->  00:14:22.945] EK SPEAKER_02
[ 00:14:21.578 -->  00:14:24.345] TM SPEAKER_08
[ 00:14:22.439 -->  00:14:27.501] WW SPEAKER_09
[ 00:14:22.945 -->  00:14:22.995] KG SPEAKER_05
[ 00:14:27.501 -->  00:14:35.669] ACT SPEAKER_10
[ 00:14:28.260 -->  00:14:28.902] WX SPEAKER_09
[ 00:14:31.079 -->  00:14:32.834] AC SPEAKER_00
[ 00:14:32.496 -->  00:14:33.998] TN SPEAKER_08
[ 00:14:33.998 -->  00:14:46.452] QB SPEAKER_07
[ 00:14:36.445 -->  00:14:36.462] ACU SPEAKER_10
[ 00:14:36.495 -->  00:14:40.613] MU SPEAKER_06
[ 00:14:42.216 -->  00:14:56.948] ACV SPEAKER_10
[ 00:14:46.452 -->  00:14:50.940] IE SPEAKER_04
[ 00:14:50.940 -->  00:14:52.004] AD SPEAKER_00
